,ID,Test No,TB,Tem.,Inj. Back pressure,Cylinder,PumpType        (eg:CB18-16),No. of Plunger,No. of Lobe,Devolume ,Ratio,Plunger lift_mm,Injector  Type,Needle Lift,Armature lift,Nozzle Flow Rate_ cm3/30s@100bar,holes Num.,K/ks,DSP,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",ECU Type,HPP P2R_Length,HPP P2R_ID,HPP P2R_OD,HPP R2I_Length,HPP R2I_ID,HPP R2I_OD,Unnamed: 31,Unnamed: 32,Pump type,Plunger Num.,Cam lobes,Plunger lift_mm.1,Geometrical fuel delivery:mm3/rev
hx,135.0,2014/120,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,300.0,6.0,K=0,0.134,HFR,17.4,no,no,w/o PLV and PCV,EDC17C63,400.0,3.0,6.35,190.0,3.0,6.35,,,,,,,
,134.0,2014/122,H1904,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI2-16,0.85,40,400.0,8.0,K=0,0.1332,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17CV44-5.04,424.0,3.0,6.35,200.0,3.0,6.35,,,,,,,
,133.0,2014/127,H1908,40.0,0.5,4.0,CB08-16,1.0,2.0,509.0,0.5,9.0,CRI1-16,0.85,40,300.0,6.0,K=0,0.135,HFR,15.0,no,no,w/o PLV and PCV,EDC17C63-2.20,338.0,3.0,6.35,192.0,3.0,6.35,,,,,,,
,132.0,2014/131,H1907,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,400.0,6.0,K=0,0.1541,HFR,17.36,no,no,w/o PLV and PCV,EDC17C04_6.90,225.0,3.0,6.35,225.0,3.0,6.35,,,,,,,
,131.0,2014/135,H1907,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,410.0,6.0,Ks1.3,0.1357,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44-5.04,310.0,3.0,6.35,215.0,3.0,6.35,,,,,,,
,129.0,2014/137,H1904,40.0,0.5,4.0,CB08-16,1.0,3.0,704.0,0.5,8.3,CRI1-16,0.85,40,335.0,7.0,K=0,0.1304,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C63-2.10,332.0,3.0,6.35,218.0,3.0,6.35,,,,,,,
,130.0,2014/137,H1904,40.0,0.5,4.0,CB08-16,1.0,3.0,704.0,0.5,8.3,CRI1-16,0.85,40,360.0,7.0,K=0,0.1359,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C63-2.10,332.0,3.0,6.35,218.0,3.0,6.35,,,,,,,
,127.0,2015/001,H1904,40.0,0.5,4.0,CB08-16,1.0,3.0,704.0,0.5,8.3,CRI1-16,0.85,40,375.0,7.0,Ks1.3,0.1291,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C63-2.10,332.0,3.0,6.35,218.0,3.0,6.35,,,,,,,
,126.0,2015/007,H1906,40.0,0.5,6.0,CPN2-18,2.0,3.0,4524.0,0.5,15.0,CRIN3-18,0.3,45,520.0,8.0,K=0.7,0.1533,HFR,30.0,1.2,1.2,w/PLV,EDC17CV41-4.60,380.0,3.6,8.0,380.0,3.6,8.0,,,,,,,
,125.0,2015/018,H1903,40.0,0.5,6.0,CP4-25,2.0,2.0,995.0, 3/2,7.5,CRIN3-25,0.35,,509.0,8.0,zs,0.139,HFR,23.4,1.2,1.2,w/PCV,EDC17CV41-4.60,677.4,3.0,8.0,223.5,3.0,8.0,,,,,,,
,124.0,2015/020,H1907,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI1-16,0.85,40,326.0,7.0,Ks1.3,0.1206,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C55-1.90,324.0,3.0,6.35,236.0,3.0,6.35,,,,,,,
,121.0,2015/025,H1902,40.0,0.5,4.0,CB08-16,1.0,3.0,704.0,0.5,8.3,CRI1-16,0.85,40,274.0,6.0,K=0,0.1299,HFR,15.0,no,no,w/o PLV and PCV,EDC17C55-1.90,395.0,3.0,6.0,283.0,3.0,6.0,,,,,,,
,119.0,2015/027,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,399.0,7.0,K=0,0.143,HFR,17.36,no,no,w/o PLV and PCV,EDC17C81-2.10,315.5,3.0,6.35,245.2,3.0,6.35,,,,,,,
,117.0,2015/028,H1904,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,388.0,6.0,K=0,0.1545,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44,275.0,3.0,6.35,285.0,3.0,6.35,,,,,,,
,113.0,2015/031,H1904,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,450.0,7.0,K=0,0.1531,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44,310.0,3.0,6.35,215.0,3.0,6.35,,,,,,,
,111.0,2015/031,H1904,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI2-16,0.85,40,450.0,6.0,Ks1.3,0.1513,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44,310.0,3.0,6.35,215.0,3.0,6.35,,,,,,,
,112.0,2015/032,H1907,40.0,0.5,6.0,CPN2-18,2.0,3.0,4524.0,0.5,15.0,CRIN3-25,0.4,,900.0,8.0,zs,0.186,HFRN18,32.0,1.2,1.2,w/PLV,EDC17CV41,582.5,3.5,8.0,298.5,3.5,8.0,,,,,,,
,110.0,2015/033,H1907,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,500.0,6.0,Ks1.3,0.1593,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44-5.04,310.0,3.0,6.35,215.0,3.0,6.35,,,,,,,
,109.0,2015/033,H1907,40.0,0.5,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,40,500.0,5.0,Ks1.3,0.1747,HFR,17.4,no,no,w/o PLV and PCV,EDC17CV44-5.04,310.0,3.0,6.35,215.0,3.0,6.35,,,,,,,
,104.0,2015/038,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,971.0,0.5,7.0,CRI1-16,0.85,40,350.0,7.0,Ks1.3,0.1344,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44-5.03,338.0,3.0,6.35,192.0,3.0,6.35,,,,,,,
,105.0,2015/038,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,971.0,0.5,7.0,CRI1-16,0.85,40,400.0,7.0,Ks1.3,0.1329,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44-5.03,338.0,3.0,6.35,192.0,3.0,6.35,,,,,,,
,106.0,2015/038,H1908,40.0,0.5,4.0,CB18-16,2.0,2.0,971.0,0.5,7.0,CRI1-16,0.85,40,370.0,7.0,Ks1.3,0.1285,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44-5.03,338.0,3.0,6.35,192.0,3.0,6.35,,,,,,,
,101.0,2015/040,H1908,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI1-16,0.85,40,480.0,7.0,Ks1.3,0.145,HFR,15.0,no,0.85,w/o PLV and PCV,EDC17C81-2.10,666.0,3.0,6.35,206.0,3.0,6.35,,,,,,,
