Week,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,
18-01,holiday,holiday,holiday,holiday,holiday,holiday,holiday,holiday,
18-01,Q-min investigation,QPC development,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,P9 Portable high accuracy injector diagnostic system investigation / A_Ry,"P10 CRI2-20 system investigation / IP_Yc,Xy",P11 Hydraulic labcar investigation for OHW application / IP_Tz(idle),
18-01,Q-min investigation,QPC development,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,EKP characteristic measurement,"P10 CRI2-20 system investigation / IP_Yc,Xy",CB4 pump mounting orientation investigation,
18-01,Q-min investigation,QPC development,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,EKP characteristic measurement,"P10 CRI2-20 system investigation / IP_Yc,Xy",CB4 pump mounting orientation investigation,
18-01,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,EKP characteristic measurement,"P10 CRI2-20 system investigation / IP_Yc,Xy",CB4 pump mounting orientation investigation,
18-02,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,EKP(Delphi) characteristic measurement,1. EKP characteristic measurement,CB4 pump mounting orientation investigation,
18-02,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,EKP(Delphi) characteristic measurement,CRI2-20 system investigation,CB4 pump mounting orientation investigation,
18-02,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,SDEC SC12E CRSN3-18BL ET-MAP,CRI2-20 system investigation,CB4 pump mounting orientation investigation,
18-02,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,SDEC SC12E CRSN3-18BL ET-MAP,CRI2-20 system investigation,CB4 pump mounting orientation investigation,
18-02,Q-min investigation,MeUn current investigation,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,SDEC SC12E CRSN3-18BL ET-MAP,CRI2-20 system investigation,CB4 pump mounting orientation investigation,
18-03,Q-min investigation,ET-MAP +VCC,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,SDEC SC12E CRSN3-18BL ET-MAP,QPC development,CB4 pump mounting orientation investigation,
18-03,Q-min investigation,ET-MAP +VCC,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,QPC development,CB4 pump mounting orientation investigation,
18-03,ET-MAP,ET-MAP +VCC,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,QPC development,Hydraulic labcar investigation,
18-03,ET-MAP,ET-MAP +VCC,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,QPC development,Hydraulic labcar investigation,
18-03,ET-MAP,ET-MAP +VCC,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,QPC development,Hydraulic labcar investigation,
18-04,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,Maintainance,QPC development,Hydraulic labcar investigation,
18-04,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,Maintainance,QPC development,Hydraulic labcar investigation,
18-04,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,Maintainance,MeUn current investigation,Hydraulic labcar investigation,
18-04,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,Maintainance,MeUn current investigation,Hydraulic labcar investigation,
18-04,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,Maintainance,MeUn current investigation,Hydraulic labcar investigation,
18-05,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,ET-MAP,Hydraulic labcar investigation,
18-05,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,RPG trouble shooting,Hydraulic labcar investigation,
18-05,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,RPG trouble shooting,Hydraulic labcar investigation,
18-05,QWC FFT,QWC FFT,Drive torque measurement,Air entry sensitivity measurement,CRI1-20 injector development by EPD,ET-MAP,RPG trouble shooting,Hydraulic labcar investigation,
